id,title,vendor,productType,variantsCount/count,mf_status/value,sku,product/id,product/title,image,__parentId,image/altText,image/url
gid://shopify/ProductVariant/42433984069856,,,,,,DTB1403B,gid://shopify/Product/7559561281760,Katelyn Extension Dining Table Dark Gray,,gid://shopify/Product/7559561281760,,
gid://shopify/MediaImage/29209156452576,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-SIDE.jpg?v=1644737047
gid://shopify/MediaImage/29209156485344,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-FRONT.jpg?v=1644737047
gid://shopify/MediaImage/29209156518112,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-SIDE2.jpg?v=1644737047
gid://shopify/MediaImage/29209156550880,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-BACK.jpg?v=1644737047
gid://shopify/MediaImage/29209156583648,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-BACK2.jpg?v=1644737047
gid://shopify/MediaImage/29209156616416,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-DETAIL.jpg?v=1644737047
gid://shopify/MediaImage/29209156649184,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-ROOM.jpg?v=1644737047
gid://shopify/MediaImage/29209156681952,,,,,,,,,,gid://shopify/Product/7559561281760,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403B-ROOM2.jpg?v=1644737047
gid://shopify/Product/7559561150688,Katelyn Extension Dining Table Matte Black,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433983938784,,,,,,DTB1403A,gid://shopify/Product/7559561150688,Katelyn Extension Dining Table Matte Black,,gid://shopify/Product/7559561150688,,
gid://shopify/MediaImage/29209155338464,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-SIDE.jpg?v=1644737037
gid://shopify/MediaImage/29209155371232,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-FRONT.jpg?v=1644737037
gid://shopify/MediaImage/29209155404000,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-SIDE2.jpg?v=1644737037
gid://shopify/MediaImage/29209155436768,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-BACK.jpg?v=1644737037
gid://shopify/MediaImage/29209155469536,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-BACK2.jpg?v=1644737037
gid://shopify/MediaImage/29209155502304,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-DETAIL.jpg?v=1644737038
gid://shopify/MediaImage/29209155535072,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-ROOM.jpg?v=1644737038
gid://shopify/MediaImage/29209155567840,,,,,,,,,,gid://shopify/Product/7559561150688,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1403A-ROOM2.jpg?v=1644737038
gid://shopify/Product/7559562887392,Kylie Auto Mechanism Extension Dining Table Dark Gray,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433986068704,,,,,,DTB1400B,gid://shopify/Product/7559562887392,Kylie Auto Mechanism Extension Dining Table Dark Gray,,gid://shopify/Product/7559562887392,,
gid://shopify/MediaImage/29209168576736,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-SIDE2.jpg?v=1715956007
gid://shopify/MediaImage/29209168511200,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-SIDE.jpg?v=1715956007
gid://shopify/MediaImage/29209168543968,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-FRONT.jpg?v=1715956007
gid://shopify/MediaImage/29209168609504,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-BACK.jpg?v=1644737228
gid://shopify/MediaImage/29209168642272,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-DETAIL.jpg?v=1644737228
gid://shopify/MediaImage/29209168740576,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-DETAIL-ROOM.jpg?v=1644749066
gid://shopify/MediaImage/29209168675040,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-ROOM.jpg?v=1644749066
gid://shopify/MediaImage/29209168707808,,,,,,,,,,gid://shopify/Product/7559562887392,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1400B-ROOM2.jpg?v=1644749066
gid://shopify/Product/7559568031968,Loni Folding Round Dining Table Dark Gray,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433998946528,,,,,,DTB1401B,gid://shopify/Product/7559568031968,Loni Folding Round Dining Table Dark Gray,,gid://shopify/Product/7559568031968,,
gid://shopify/MediaImage/29209212584160,,,,,,,,,,gid://shopify/Product/7559568031968,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB1401B-SIDE.jpg?v=1644737892
